datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,windgust,windspeed,sealevelpressure,visibility,severerisk,conditionClear,conditionPartiallyCloudy,conditionOvercast,conditionRain,windirCat,fecha,severeriskCat
2015-03-31,23.0,16.7,19.3,23.0,16.7,19.3,80.1,0.0,42.5,24.1,1013.3,10.4,0.0,0,1,0,0,Sur,2015-03-31,Bajo
2015-04-01,25.5,11.2,18.6,25.5,11.2,18.6,69.6,0.0,24.8,15.8,1015.8,9.6,0.0,1,0,0,0,Norte,2015-04-01,Bajo
2015-04-02,30.5,12.1,20.7,28.7,12.1,20.4,54.3,0.0,35.3,21.5,1013.4,10.5,0.0,1,0,0,0,Norte,2015-04-02,Bajo
2015-04-03,30.2,14.0,22.0,29.5,14.0,21.8,54.2,0.0,39.2,24.2,1009.6,11.5,0.0,1,0,0,0,Norte,2015-04-03,Bajo
2015-04-04,23.8,19.0,21.3,23.8,19.0,21.3,82.9,0.3,34.9,20.7,1008.8,9.1,0.0,0,1,0,1,Sur,2015-04-04,Bajo
2015-04-05,22.5,16.0,19.9,22.5,16.0,19.9,76.1,0.0,58.3,35.4,1014.6,10.7,0.0,0,1,0,0,Sur,2015-04-05,Bajo
2015-04-06,20.5,15.9,17.5,20.5,15.9,17.5,62.7,0.0,40.3,22.3,1021.2,10.8,0.0,0,1,0,0,Sur,2015-04-06,Bajo
2015-04-07,21.5,10.2,17.2,21.5,10.2,17.2,69.6,0.0,31.7,24.9,1019.5,10.5,0.0,0,1,0,0,Este,2015-04-07,Bajo
2015-04-08,25.5,12.9,19.0,25.5,12.9,19.0,66.0,0.0,40.7,23.3,1017.1,11.0,0.0,0,1,0,0,Norte,2015-04-08,Bajo
2015-04-09,26.5,15.0,19.9,26.5,15.0,19.9,73.4,0.0,27.7,22.3,1017.1,10.7,0.0,1,0,0,0,Norte,2015-04-09,Bajo
2015-04-10,27.5,15.3,20.9,27.3,15.3,21.0,68.7,0.0,27.7,20.5,1017.4,10.2,0.0,0,1,0,0,Este,2015-04-10,Bajo
2015-04-11,22.0,17.0,19.4,22.0,17.0,19.4,67.7,0.174,37.4,24.3,1018.8,10.1,0.0,0,1,0,1,Este,2015-04-11,Bajo
2015-04-12,22.6,12.0,18.5,22.6,12.0,18.5,63.3,0.0,24.8,17.5,1018.7,10.4,0.0,1,0,0,0,Este,2015-04-12,Bajo
