Pais;Ciudad;Barrio;Latitud;Longitud;Latitud Decimal;Longitud Decimal;Código Postal
Uruguay;Montevideo;Aguada;34°53′35″ S;56°11′22″ O;-34,893056;-56,189444;11800
Uruguay;Montevideo;Aires Puros;34°51′07″ S;56°11′18″ O;-34,851944;-56,188333;11700
Uruguay;Montevideo;Atahualpa;34°51′53″ S;56°11′30″ O;-34,864722;-56,191667;11600
Uruguay;Montevideo;Bañados de Carrasco;34°50′31″S;56°04′52″O;-34,841944;-56,081111;13000
Uruguay;Montevideo;Barrio Sur;34°54′39″ S;56°11′27″ O;-34,910833;-56,190833;11200
Uruguay;Montevideo;Belvedere;34°51′00″ S;56°13′00″ O;-34,85;-56,216667;11900
Uruguay;Montevideo;Brazo Oriental;34°51′53″ S;56°10′45″ O;-34,864722;-56,179167;11700
Uruguay;Montevideo;Buceo;34°54′00″ S;56°08′00″ O;-34,9;-56,133333;11400
Uruguay;Montevideo;Capurro, Bella Vista;34°52′36″ S;56°12′01″ O;-34,876667;-56,200278;11800
Uruguay;Montevideo;Carrasco;34°53′07″ S;56°03′38″ O;-34,885278;-56,060556;11500
Uruguay;Montevideo;Carrasco Norte;34°52′33″S ;56°04′01″O;-34,875833;-56,0675;11500
Uruguay;Montevideo;Casabó, Pajas Blancas;34°52′00″ S;56°18′30″ O;-34,866667;-56,308333;12800
Uruguay;Montevideo;Casavalle;34°49′46″ S;56°10′09″ O;-34,829444;-56,169167;12300
Uruguay;Montevideo;Castro, P. Castellanos;34°51′21″S;56°9′29″O;-3.485.583;-5.615.806;12200
Uruguay;Montevideo;Centro;34°54′19″ S;56°11′40″ O;-34,905278;-56,194444;11100
Uruguay;Montevideo;Cerrito;34°52′00″ S;56°10′00″ O;-34,866667;-56,166667;12200
Uruguay;Montevideo;Cerro;34°53′18″S;56°15′36″O;-34,888333;-56,26;12800
Uruguay;Montevideo;Ciudad Vieja;34°54′30″ S;56°12′30″ O;-34,908333;-56,208333;11000
Uruguay;Montevideo;Colón Centro y Noroeste;34°48′16″S;56°13′46″O;-34,804444;-56,229444;12500
Uruguay;Montevideo;Colón Sureste, Abayubá;34°47′46″S ;56°12′23″O;-34,79611;-56,20639;No disponible
Uruguay;Montevideo;Conciliación;34°49′25″S;56°13′55″O;-34,82361;-56,23194;No disponible
Uruguay;Montevideo;Cordón;34°54′00″ S;56°11′00″ O;-34,9;-56,183333;11200
Uruguay;Montevideo;Flor de Maroñas;34°51′00″ S;56°07′00″ O;-34,85;-56,116667;12100
Uruguay;Montevideo;Ituzaingó;34°51′00″ S;56°07′00″ O;-34,85;-56,116667;12100
Uruguay;Montevideo;Jacinto Vera;34°52′32″ S;56°10′13″ O;-34,875556;-56,170278;11600
Uruguay;Montevideo;Jardines del Hipódromo;34°50′14″ S;56°07′55″ O;-34,837222;-56,131944;12300
Uruguay;Montevideo;La Blanqueada;34°53′11″ S;56°09′14″ O;-34,886389;-56,153889;11600
Uruguay;Montevideo;La Comercial;34°53′12″S;56°10′10″O;-34,88667;-56,16944;No disponible
Uruguay;Montevideo;La Figurita;34°52′41″S;56°10′46″O;-34,87806;-56,17944;No disponible
Uruguay;Montevideo;La Paloma, Tomkinson;34°51′37″S;56°16′6″O;-34,86028;-56,26833;No disponible
Uruguay;Montevideo;La Teja;34°51′51″S;"56°13′31""O";-34,86417;-56,22528;No disponible
Uruguay;Montevideo;Larrañaga;34°52′49″ S;56°09′40″ O;-34,880278;-56,161111;11600
Uruguay;Montevideo;Las Acacias;34°50′36″ S;56°09′48″ O;-34,843333;-56,163333;12200
Uruguay;Montevideo;Las Canteras;34°52′27″ S;56°06′20″ O;-34,874167;-56,105556;12100
Uruguay;Montevideo;Lezica, Melilla;34°46′42″ S;56°16′36″ O;-34,778333;-56,276667;12500
Uruguay;Montevideo;Malvín;34°53′28″ S;56°05′58″ O;-34,891111;-56,099444;11400
Uruguay;Montevideo;Malvín Norte;34°52′46″S;56°7′10″O;-34,87944;-56,11944;No disponible
Uruguay;Montevideo;Manga;34°49′00″ S;56°06′00″ O;-34,816667;-56,1;12500
Uruguay;Montevideo;Manga, Toledo Chico;34°48′26″S;56°08′17″O;-34,80722;-56,13806;No disponible
Uruguay;Montevideo;Maroñas, Parque Guaraní;34°51′48″S;56°07′47″O;-34,86333;-56,12972;No disponible
Uruguay;Montevideo;Mercado Modelo, Bolívar;34°52′09″S;56°09′35″O;-34,86917;-56,15972;No disponible
Uruguay;Montevideo;Nuevo París;34°51′00″ S;56°14′00″ O;-34,85;-56,233333;11900
Uruguay;Montevideo;Palermo;34°54′44″ S;56°10′53″ O;-34,912222;-56,181389;11200
Uruguay;Montevideo;Parque Batlle, Villa Dolores;34°53′42″ S;56°09′16″ O;-34,895;-56,154444;11600
Uruguay;Montevideo;Parque Rodó;34°54′34″ S;56°10′06″ O;-34,909444;-56,168333;11200
Uruguay;Montevideo;Paso de la Arena;34°49′12″ S;56°18′39″ O;-34,82;-56,310833;12800
Uruguay;Montevideo;Paso de las Duranas;34°50′51″ S;56°12′18″ O;-34,8475;-56,205;11700
Uruguay;Montevideo;Peñarol, Lavalleja;34°49′00″ S;56°11′00″ O;-34,816667;-56,183333;12400
Uruguay;Montevideo;Piedras Blancas;34°49′43″ S;56°08′22″ O;-34,828611;-56,139444;12200
Uruguay;Montevideo;Pocitos;34°54′30″S;56°09′00″O;-34,90833;-56,15;No disponible
Uruguay;Montevideo;Prado, Nueva Savona;34°51′50″S;56°12′09″O;-34,86389;-56,2025;No disponible
Uruguay;Montevideo;Punta Carretas;34°55′19″S;56°09′34″O;-34,92194;-56,15944;No disponible
Uruguay;Montevideo;Punta Gorda;34°53′33″S;56°04′47″O;-34,8925;-56,07972;No disponible
Uruguay;Montevideo;Punta Rieles, Bella Italia;34°49′27″S;56°06′06″O;-34,82417;-56,10167;No disponible
Uruguay;Montevideo;Reducto;34°52′42″S;56°11′22″O;-34,87833;-56,18944;No disponible
Uruguay;Montevideo;Sayago;34°50′09″S;56°12′45″O;-34,83583;-56,2125;No disponible
Uruguay;Montevideo;Tres Cruces;34°53′45″S;56°10′05″O;-34,89583;-56,16806;No disponible
Uruguay;Montevideo;Tres Ombúes, Victoria;34°51′47″S;56°14′30″O;-34,86306;-56,24167;No disponible
Uruguay;Montevideo;Unión;34°52′43″S;56°8′9″O;-34,87861;-56,13583;No disponible
Uruguay;Montevideo;Villa Española;34°51′50″S;56°8′41″O;-34,86389;-56,14472;No disponible
Uruguay;Montevideo;Villa García, Manga Rural;34°47′S;56°03′O;-34,78306;-56,05;No disponible
Uruguay;Montevideo;Villa Muñoz, Retiro;34°53′16″S;56°10′37″O;-34,88778;-56,17694;No disponible
